tree_ID,year,treatment,assessment,block,family,class,compound,mass_type,mass
1113,2019,FFE,pre_rust,4,ENDO-158,diterpene,neoabietic,dw,0.351
1113,2019,FFE,pre_rust,4,ENDO-158,diterpene,palustric,dw,2.303
1113,2019,FFE,pre_rust,4,ENDO-158,diterpene,abietic,dw,2.027
1117,2019,FFE,pre_rust,4,ENDO-160,diterpene,dehydroabietic,dw,0.396
1117,2019,FFE,pre_rust,4,ENDO-160,diterpene,levopiramic,dw,41.708
1117,2019,FFE,pre_rust,4,ENDO-160,diterpene,sandaracopiramic,dw,3.28
1117,2019,FFE,pre_rust,4,ENDO-160,diterpene,neoabietic,dw,0.305
1117,2019,FFE,pre_rust,4,ENDO-160,diterpene,palustric,dw,1.872
1117,2019,FFE,pre_rust,4,ENDO-160,diterpene,abietic,dw,1.056
1118,2019,FFE,pre_rust,4,ENDO-160,diterpene,dehydroabietic,dw,0.439
1118,2019,FFE,pre_rust,4,ENDO-160,diterpene,levopiramic,dw,15.196
1118,2019,FFE,pre_rust,4,ENDO-160,diterpene,sandaracopiramic,dw,4.376
1118,2019,FFE,pre_rust,4,ENDO-160,diterpene,neoabietic,dw,0.322
1118,2019,FFE,pre_rust,4,ENDO-160,diterpene,palustric,dw,1.953
1118,2019,FFE,pre_rust,4,ENDO-160,diterpene,abietic,dw,1.15
1120,2019,FFE,pre_rust,4,ENDO-157,diterpene,dehydroabietic,dw,0.435
1120,2019,FFE,pre_rust,4,ENDO-157,diterpene,levopiramic,dw,8.411
1120,2019,FFE,pre_rust,4,ENDO-157,diterpene,sandaracopiramic,dw,4.085
1120,2019,FFE,pre_rust,4,ENDO-157,diterpene,neoabietic,dw,0.332
1120,2019,FFE,pre_rust,4,ENDO-157,diterpene,palustric,dw,2.42
1120,2019,FFE,pre_rust,4,ENDO-157,diterpene,abietic,dw,1.261
1123,2019,FFE,pre_rust,4,ENDO-157,diterpene,dehydroabietic,dw,0.215
1123,2019,FFE,pre_rust,4,ENDO-157,diterpene,levopiramic,dw,13.903
1123,2019,FFE,pre_rust,4,ENDO-157,diterpene,sandaracopiramic,dw,1.032
1123,2019,FFE,pre_rust,4,ENDO-157,diterpene,neoabietic,dw,0.265
1123,2019,FFE,pre_rust,4,ENDO-157,diterpene,palustric,dw,1.768
1123,2019,FFE,pre_rust,4,ENDO-157,diterpene,abietic,dw,1.446
1127,2019,FFE,pre_rust,4,ENDO-156,diterpene,dehydroabietic,dw,0.402
1127,2019,FFE,pre_rust,4,ENDO-156,diterpene,levopiramic,dw,56.269
1127,2019,FFE,pre_rust,4,ENDO-156,diterpene,sandaracopiramic,dw,3.348
1127,2019,FFE,pre_rust,4,ENDO-156,diterpene,neoabietic,dw,0.433
1127,2019,FFE,pre_rust,4,ENDO-156,diterpene,palustric,dw,2.684
1127,2019,FFE,pre_rust,4,ENDO-156,diterpene,abietic,dw,1.308
1129,2019,FFE,pre_rust,4,ENDO-156,diterpene,dehydroabietic,dw,0.433
