tree_ID,inoc_dens,ht6,dm6,sv6,alive6,vig6,ht5,dm5,sv5,vig5,bi5,nc5,pbr5,br5,ss5,dm4,sv4,ss4,dm3,sv3,vig3,bi3,nc3,pbr3,br3,ss3,ht1
1294,3860,NA,4,9,No,3,27,4,7,1,4,5,0,0,5,4,7,4,0,0,1,0,0,0,0,0,11.7
1295,3860,NA,4,9,No,3,29,4,5,1,6,7,0,0,7,4,5,7,0,0,1,0,0,0,0,0,14.3
1296,3860,NA,4,9,No,3,26,4,3,1,2,1,1,0,2,4,2,1,0,0,1,0,0,0,0,0,14
1297,3860,47.5,4,7,Yes,6,28,4,2,1,2,6,0,0,6,4,1,2,4,1,1,0,1,0,0,1,14.1
1298,3860,62,4,2,Yes,1,38.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.5
1299,3860,NA,4,9,No,3,30,4,5,1,5,2,3,0,5,4,6,3,4,2,1,2,2,0,0,2,16.8
1300,3860,NA,4,9,No,3,28,4,6,1,5,7,0,0,7,4,6,5,4,2,1,1,3,0,0,3,15.3
1301,3860,NA,4,9,No,3,13,4,5,6,1,1,0,0,1,4,5,1,4,5,1,2,2,0,0,2,11.8
1302,3860,NA,4,9,No,3,29,4,6,1,4,4,0,0,4,4,5,4,4,2,1,1,2,0,0,2,14.5
1303,3860,NA,4,9,No,3,21,4,5,1,3,3,0,0,3,4,5,2,0,0,1,0,0,0,0,0,10.4
1304,3860,NA,4,9,No,3,19.5,4,7,1,5,5,0,0,5,4,6,5,4,4,1,3,3,0,0,3,9.5
1305,3860,NA,4,9,No,3,NA,4,9,3,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,NA,0,8.6
1306,3860,50.5,4,2,Yes,1,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.9
1307,3860,NA,4,9,No,3,38,4,5,1,3,3,0,0,3,4,6,3,0,0,1,0,0,0,0,0,15.9
1308,3860,NA,4,9,No,3,31.5,4,5,1,7,7,0,0,7,4,6,7,0,0,1,0,0,0,0,0,16.9
1309,3860,NA,4,9,No,3,20,4,4,1,2,1,1,0,2,4,7,2,4,2,1,1,1,1,0,2,13.3
1310,3860,40,0,0,Yes,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
1311,3860,49.5,0,0,Yes,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.6
1312,3860,49.5,4,8,Yes,1,32,4,5,1,6,6,0,0,6,4,5,6,0,0,1,0,0,0,0,0,16.5
1313,3860,NA,4,9,No,3,23,4,6,1,7,7,1,0,8,4,6,8,0,0,1,0,0,0,0,0,12
1314,3860,NA,4,9,No,3,28,4,8,1,7,8,0,0,8,4,8,6,4,4,1,4,4,0,0,4,15.9
1315,3860,NA,4,9,No,3,28.5,4,7,1,8,9,0,0,9,4,7,8,4,4,1,2,2,0,0,2,14.5
1316,3860,NA,4,9,No,3,29,4,7,1,5,7,0,0,7,4,6,5,4,3,1,2,3,0,0,3,16.5
