tree_ID,ht6,ht5,ht1
1801,54,21.5,8.8
1802,53.5,32.6,12.9
1803,30,19.5,9.5
1804,48,30.7,11
1805,55.5,25.6,9.9
1806,55.5,33.5,22
1807,52.5,37.5,17
1808,47.5,26.5,13.4
1809,60,37.4,17
1810,53.5,34.8,13.1
1811,NA,NA,12
1812,39,19.8,10
1813,x,46.5,12.1
1814,71.5,NA,17.5
1815,67,33.5,15.5
1816,42.5,26.6,8
1817,57,33.8,12.8
1818,84.5,43,13.2
1819,70.5,38.6,14
1820,60,31,12.5
1821,42,25.7,7.5
1822,45.5,20,8.2
1823,56.5,30.5,16.3
1824,65,34.2,15.2
1825,53,37.5,12
1826,44.5,27.4,11.8
1827,46.5,29.9,16
1828,56,27.6,15.5
1829,NA,NA,18.9
1830,NA,NA,16.8
1831,53.5,24.5,14
1832,51.5,24.6,13.2
1833,57,29.8,16.7
1834,43,23.2,13
1835,60,30.5,17.5
1836,64.5,31.5,14.6
1837,65,37.8,13.4
1838,47,27.5,10.8
1839,66,NA,13.6
1840,35,23,13.2
1841,63.5,37,13.3
1842,NA,NA,14
1843,68.5,37.3,12
1844,40.5,22,10
1845,67.5,46.3,19.5
1846,53.5,33,13.4
1847,53,28.3,15.1
1848,44,28,11.5
1849,48,24.8,11
1850,71.5,45,15.6
1851,49,27,10.4
1852,61.5,31.9,11.1
1853,55.5,24.5,11.3
1854,43.5,32,13.1
1855,49,29.5,14.2
1856,48,23.5,9.6
1857,x,37,12.4
1858,52,30.5,14.5
1859,45.5,25,11
1860,58.5,35,16
1861,54,29,13.9
1862,47,27,12.8
1863,51,28.4,11.5
1864,45,28,15.8
1865,30,18,8.5
1866,42.5,22.5,14
1867,47,25.5,13.3
1868,60,30.5,15
1869,53,25,10.9
1870,51,22.5,11.8
1871,67,36.5,17.6
1872,61,35.5,14.8
1873,74,42,17
1874,51,35.4,14.8
1875,47.5,34,15.2
1876,43,28,15.7
1877,40.5,22.5,13.6
1878,NA,NA,8.5
1879,56.5,30,12
1880,33.5,18,7.5
1881,56.5,33,12.5
1882,56.5,34.5,17.6
1883,66.5,40.7,14.3
1884,NA,NA,13
1885,44,29.5,16
1886,58,35.5,14.2
1887,50,28.5,15
1888,58.5,35,16.7
1889,50.5,34.3,12
1890,40.5,22.3,10
1891,11.5,11,6.5
1892,52,28.9,12.6
1893,56.5,24.5,10.5
1894,62.5,47.7,15.4
1895,45.5,26,18.8
1896,52.5,32.4,10.4
1897,58,28.5,11.9
1898,43,34.5,16.8
1899,43,25.5,17.3
1900,42,30,11
1901,47,39.3,18.7
1902,37,29.5,13.1
1903,56.5,37.4,18
1904,46,28.6,13
1905,39.5,21.6,9.2
1906,52,32.8,14.5
1907,56,37.7,15.9
1908,51,35.6,15.6
1909,63.5,34.8,14
1910,50,26.5,12
1911,63.5,33.3,13.5
1912,67.5,32.5,14.1
1913,59,32.7,13
1914,59,32.2,13.9
1915,63,42,12.8
1916,65.5,46.7,15.9
1917,45,32,11.9
1918,52.5,41,18
1919,47,32.5,13.9
1920,39.5,27.9,9.8
1921,29.5,19,9.2
1922,24.5,13,8
1923,37.5,21.7,10.5
1924,51.5,26.7,11.2
1925,62,37.6,16
1926,58,40.3,16
1927,67,33.5,12.2
1928,48,24.4,13
1929,55.5,26.7,18.9
1930,45,33.5,14
1931,51,32.5,13
1932,60.5,35.7,13.7
1933,50.5,25.6,8.6
1934,61.5,34.1,13
1935,60.5,30.6,13.2
1936,57,33.8,14
1937,34,17.4,6.5
1938,61.5,34.6,14
1939,35.5,28.7,14
1940,44.5,35.7,15.7
1941,56.5,37.7,21.5
1942,56,32.6,19
1943,59,34.5,15.9
1944,56,33.8,13
1945,63,36.5,14.5
1946,56,32.4,15
1947,54,28.4,12.9
1948,42,31,24
1949,27,22.6,14.9
1950,33,29.3,14.5
1951,48,31.6,12.6
1952,50.5,25.8,14.3
1953,47,32.8,16.8
1954,53,38.8,13.6
1955,47,30.6,15
1956,59,32.5,14.1
1957,55.5,33.5,15.8
1958,38.5,18.3,10
1959,27,16.4,5.8
1960,42,25.9,15.9
1961,41,18.5,9.5
1962,38,28.5,10.5
1963,48,34.5,13.5
1964,44,30.5,13.5
1965,31.5,20,10.8
1966,41,28.6,13.5
1967,43,28.1,13.2
1968,51,29.4,14
1969,54,38.3,15.2
1970,50.5,32,14
1971,37,17.5,8
1972,46.5,24,11.5
1973,55.5,36.1,11.8
1974,48.5,29.5,16
1975,36,17.9,6.5
1976,31.5,19,7.2
1977,34,24,12.5
1978,52,25.5,13.5
1979,54.5,33,13
1980,42.5,20,9.3
1981,52,34,18.5
1982,32.5,23,11.1
1983,41.5,28.5,11
1984,50,38,24.2
1985,42.5,22,13.8
1986,33.5,23,11.5
1987,63.5,38.6,19
1988,63,37,16.1
1989,47,29,14.1
1990,58,37,16.8
1991,40,25,16.2
1992,36,24,11
1993,36,22,10.2
1994,59,37.7,15
1995,46,26.8,13.4
1996,54,37.5,16.3
1997,39,23.8,9
1998,39,22.8,12.5
1999,60,40.6,18
2000,64,46.1,18.7
2001,30,18.2,8.9
2002,57,30.3,12
2003,NA,NA,5.7
2004,52.5,24.6,11.3
2005,63,35.8,14.9
2006,54,28.2,12.7
2007,61,34.5,16.4
2008,51,30.4,16.5
2009,40,25.8,15
2010,57.7,36.5,16
2011,50,24.5,13.9
2012,57,32.4,17.2
2013,62.5,41.2,16.7
2014,36.5,29.5,13
2015,51,37.6,18.3
2016,65.5,38.5,14.2
2017,46,31.5,16.5
2018,44,28.2,14
2019,39,25.5,14.3
2020,57,37.8,16.7
2021,66,35.7,16
2022,59.5,27.4,9
2023,44,30,13.5
2024,60.5,36.5,11.8
2025,53.5,24.5,11.1
